Symbol,Company,Market Cap.
0001.HK,CKH HOLDINGS,187.86B
0002.HK,CLP HOLDINGS,144.51B
0003.HK,HK & CHINA GAS,133.97B
0004.HK,WHARF HOLDINGS,54.58B
0005.HK,HSBC HOLDINGS,"1,120.36B"
0006.HK,POWER ASSETS,92.59B
0011.HK,HANG SENG BANK,225.40B
0012.HK,HENDERSON LAND,133.13B
0016.HK,SHK PPT,303.39B
0017.HK,NEW WORLD DEV,53.22B
0019.HK,SWIRE PACIFIC A,52.42B
0020.HK,SENSETIME-W,85.34B
0027.HK,GALAXY ENT,222.82B
0066.HK,MTR CORPORATION,241.88B
0083.HK,SINO LAND,80.93B
0101.HK,HANG LUNG PPT,67.30B
0123.HK,YUEXIU PROPERTY,34.30B
0135.HK,KUNLUN ENERGY,57.58B
0144.HK,CHINA MER PORT,46.43B
0151.HK,WANT WANT CHINA,59.77B
0168.HK,TSINGTAO BREW,52.66B
0175.HK,GEELY AUTO,91.71B
0220.HK,U-PRESID CHINA,36.06B
0241.HK,ALI HEALTH,76.66B
0247.HK,TST PROPERTIES,44.97B
0267.HK,CITIC,260.93B
0268.HK,KINGDEE INT'L,53.58B
0270.HK,GUANGDONG INV,50.79B
0285.HK,BYD ELECTRONIC,46.75B
0288.HK,WH GROUP,58.63B
0291.HK,CHINA RES BEER,197.73B
0293.HK,CATHAY PAC AIR,47.12B
0316.HK,OOIL,87.76B
0322.HK,TINGYI,77.75B
0384.HK,CHINA GAS HOLD,56.36B
0386.HK,SINOPEC CORP,117.21B
0388.HK,HKEX,419.14B
0392.HK,BEIJING ENT,36.67B
0412.HK,SDHG,32.14B
0486.HK,RUSAL,58.64B
0656.HK,FOSUN INTL,52.28B
0669.HK,TECHTRONIC IND,154.67B
0688.HK,CHINA OVERSEAS,211.01B
0700.HK,TENCENT,"3,297.15B"
0728.HK,CHINA TELECOM,60.64B
0753.HK,AIR CHINA,33.30B
0762.HK,CHINA UNICOM,177.46B
0772.HK,CHINA LIT,34.41B
0780.HK,TONGCHENGTRAVEL,34.24B
0788.HK,CHINA TOWER,42.93B
0836.HK,CHINA RES POWER,79.75B
0853.HK,MICROPORT,37.40B
0857.HK,PETROCHINA,91.99B
0868.HK,XINYI GLASS,57.95B
0881.HK,ZHONGSHENG HLDG,78.22B
0883.HK,CNOOC,526.89B
0914.HK,CONCH CEMENT,37.42B
0916.HK,CHINA LONGYUAN,31.56B
0939.HK,CCB,"1,214.10B"
0941.HK,CHINA MOBILE,"1,382.24B"
0945.HK,MANULIFE-S,271.54B
0960.HK,LONGFOR GROUP,133.17B
0966.HK,CHINA TAIPING,31.98B
0968.HK,XINYI SOLAR,78.30B
0981.HK,SMIC,138.63B
0992.HK,LENOVO GROUP,88.41B
0998.HK,CITIC BANK,54.61B
1024.HK,KUAISHOU-W,222.24B
1038.HK,CKI HOLDINGS,110.86B
1044.HK,HENGAN INT'L,40.79B
1066.HK,WEIGAO GROUP,55.98B
1088.HK,CHINA SHENHUA,86.63B
1093.HK,CSPC PHARMA,94.15B
1109.HK,CHINA RES LAND,248.51B
1113.HK,CK ASSET,178.81B
1128.HK,WYNN MACAU,37.92B
1171.HK,YANKUANG ENERGY,43.22B
1177.HK,SINO BIOPHARM,80.14B
1179.HK,HWORLD-S,126.00B
1193.HK,CHINA RES GAS,66.87B
1209.HK,CHINA RES MIXC,94.03B
1211.HK,BYD COMPANY,219.60B
1288.HK,ABC,87.60B
1299.HK,AIA,939.42B
1308.HK,SITC,45.81B
1347.HK,HUA HONG SEMI,43.01B
1378.HK,CHINAHONGQIAO,76.94B
1398.HK,ICBC,368.00B
1548.HK,GENSCRIPT BIO,43.16B
1563.HK,IA FIN LEASING,32.05B
1585.HK,YADEA,51.59B
1658.HK,PSBC,99.08B
1698.HK,TME-SW,102.79B
1797.HK,EAST BUY,36.48B
1801.HK,INNOVENT BIO,65.52B
1810.HK,XIAOMI-W,272.94B
1821.HK,ESR,53.71B
1876.HK,BUD APAC,313.86B
1882.HK,HAITIAN INT'L,35.35B
1888.HK,KB LAMINATES,31.76B
1908.HK,C&D INTL GROUP,42.58B
1913.HK,PRADA,140.60B
1928.HK,SANDS CHINA LTD,212.04B
1929.HK,CHOW TAI FOOK,138.80B
1972.HK,SWIREPROPERTIES,119.34B
1997.HK,WHARF REIC,132.22B
2007.HK,COUNTRY GARDEN,57.21B
2015.HK,LI AUTO-W,180.21B
2020.HK,ANTA SPORTS,283.84B
2057.HK,ZTO EXPRESS-SW,171.34B
2076.HK,BOSS ZHIPIN-W,64.89B
2269.HK,WUXI BIO,214.18B
2282.HK,MGM CHINA,34.88B
2313.HK,SHENZHOU INTL,120.40B
2318.HK,PING AN,389.13B
2319.HK,MENGNIU DAIRY,132.80B
2328.HK,PICC P&C,51.39B
2331.HK,LI NING,170.41B
2367.HK,GIANT BIOGENE,53.58B
2378.HK,PRU,299.16B
2380.HK,CHINA POWER,40.32B
2382.HK,SUNNY OPTICAL,94.38B
2388.HK,BOC HONG KONG,273.83B
2423.HK,BEKE-W,171.59B
2588.HK,BOC AVIATION,42.50B
2601.HK,CPIC,59.11B
2618.HK,JD LOGISTICS,89.01B
2628.HK,CHINA LIFE,97.33B
2638.HK,HKELECTRIC-SS,44.71B
2688.HK,ENN ENERGY,119.66B
2888.HK,STANCHART,192.07B
2899.HK,ZIJIN MINING,71.25B
3311.HK,CHINA STATE CON,48.66B
3320.HK,CHINARES PHARMA,42.97B
3323.HK,CNBM,32.90B
3328.HK,BANKCOMM,168.05B
3668.HK,YANCOAL AUS,39.08B
3690.HK,MEITUAN-W,784.67B
3692.HK,HANSOH PHARMA,84.09B
3799.HK,DALI FOODS,43.68B
3800.HK,GCL TECH,51.98B
3808.HK,SINOTRUK,34.23B
3888.HK,KINGSOFT,37.59B
3968.HK,CM BANK,186.62B
3988.HK,BANK OF CHINA,249.19B
3998.HK,BOSIDENG,46.44B
4336.HK,APPL MATERIAL-T,561.66B
6030.HK,CITIC SEC,43.07B
6060.HK,ZA ONLINE,31.94B
6078.HK,HYGEIA HEALTH,37.16B
6098.HK,CG SERVICES,43.51B
6110.HK,TOPSPORTS,42.47B
6160.HK,BEIGENE,199.21B
6186.HK,CHINA FEIHE,53.32B
6618.HK,JD HEALTH,176.64B
6690.HK,HAIER SMARTHOME,73.96B
6698.HK,STAR CM,34.27B
6823.HK,HKT-SS,79.13B
6862.HK,HAIDILAO,117.05B
6969.HK,SMOORE INTL,57.80B
9618.HK,JD-SW,502.96B
9626.HK,BILIBILI-W,70.09B
9633.HK,NONGFU SPRING,222.78B
9866.HK,NIO-SW,112.62B
9868.HK,XPENG-W,53.49B
9888.HK,BIDU-SW,377.93B
9896.HK,MNSO,48.46B
9898.HK,WB-SW,31.31B
9901.HK,NEW ORIENTAL-S,49.21B
9926.HK,AKESO-B,36.08B
9961.HK,TRIP.COM-S,202.73B
9987.HK,YUM CHINA,199.41B
9988.HK,BABA-SW,"1,738.23B"
9999.HK,NTES-S,462.98B
